Date,0050.TW,006208.TW,0056.TW,00878.TW,00919.TW,2330.TW
2008/5/30,61.72999954,,25.40999985,,,67.22325134
2008/6/2,62.75,,25.63999939,,,65.83720398
2008/6/3,61.45000076,,25.23999977,,,66.72823334
2008/6/4,61.75999832,,25.48999977,,,65.54019165
2008/6/5,62.52000046,,25.79000092,,,66.72823334
2008/6/6,62.49000168,,25.79000092,,,68.01527405
2008/6/9,61.13000107,,25.46999931,,,66.33222198
2008/6/10,59.56999969,,24.86000061,,,64.35214996
2008/6/11,59.99000168,,24.76000023,,,63.85713577
2008/6/12,58.34000015,,23.76000023,,,63.85713577
2008/6/13,58.65999985,,23.88999939,,,64.55015564
2008/6/16,59.15000153,,24.12999916,,,65.1441803
2008/6/17,59.34999847,,24.04000092,,,64.35214996
2008/6/18,59.40000153,,24.20000076,,,64.25315094
2008/6/19,58.09000015,,23.72999954,,,63.6591301
2008/6/20,57.20000076,,23.29000092,,,63.85713577
2008/6/23,57.29000092,,23.09000015,,,62.57009125
2008/6/24,56.43999863,,22.63999939,,,64.35214996
2008/6/25,57.49000168,,23.11000061,,,63.85713577
2008/6/26,56.99000168,,23.12999916,,,66.03520966
2008/6/27,55.22000122,,22.48999977,,,62.47108841
2008/6/30,55.41999817,,22.54000092,,,63.26311493
2008/7/1,54.81000137,,22.29000092,,,63.36212158
2008/7/2,54.04999924,,22.39999962,,,63.36212158
2008/7/3,53.81000137,,22.46999931,,,58.90697098
2008/7/4,52.66999817,,21.90999985,,,58.7089653
2008/7/7,53.56000137,,22.28000069,,,59.10497665
2008/7/8,51.61999893,,21.40999985,,,59.30298233
2008/7/9,51.40999985,,21.45999908,,,58.90697098
2008/7/10,51.52000046,,21.65999985,,,58.31295013
2008/7/11,52.88999939,,22.18000031,,,59.89700317
2008/7/14,52.06000137,,21.95000076,,,60.49102402
2008/7/15,49.72999954,,21.05999947,,,58.7089653
2008/7/16,49.43999863,,20.76000023,,,54.3283577
2008/7/17,51.93000031,,21.28000069,,,55.62189102
2008/7/18,50.95000076,,20.77000046,,,58.70646667
2008/7/21,53.18000031,,21.32999992,,,59.10447693
2008/7/22,52.72999954,,21.27000046,,,59.00497437
2008/7/23,54.25,,22.11000061,,,58.20895386
2008/7/24,54.81999969,,22.39999962,,,57.91044617
